Id,SalePrice
1461,128587.27
1462,152642.53
1463,179945.22
1464,181727.4
1465,206141.39
1466,179594.62
1467,162321.16
1468,167804.28
1469,173659.83
1470,130114.57
1471,188764.92
1472,109853.56
1473,108910.34
1474,153177.72
1475,144707.11
1476,288312.6
1477,238751.9
1478,260604.05
1479,264497.0
1480,303250.94
1481,288312.6
1482,208934.06
1483,162972.17
1484,168519.06
1485,181421.78
1486,203092.6
1487,288312.6
1488,239075.45
1489,187933.97
1490,195326.55
1491,202817.75
1492,113744.3
1493,163839.88
1494,288312.6
1495,303250.94
1496,220019.61
1497,207752.03
1498,171491.16
1499,171491.16
1500,151884.97
1501,169174.75
1502,171746.31
1503,259712.84
1504,248484.69
1505,215571.72
1506,176797.94
1507,200062.56
1508,184907.94
1509,171541.86
1510,148263.7
1511,152793.12
1512,161044.6
1513,149514.38
1514,143463.67
1515,155515.47
1516,153229.44
1517,146362.62
1518,140758.75
1519,190753.56
1520,137897.39
1521,144162.61
1522,156881.89
1523,127487.95
1524,120948.44
1525,128483.445
1526,125936.11
1527,117219.836
1528,130525.58
1529,143742.1
1530,169447.64
1531,129139.07
1532,112657.17
1533,138681.56
1534,118560.55
1535,148823.27
1536,114003.52
1537,103963.48
1538,170267.95
1539,199726.1
1540,122740.805
1541,139848.08
1542,136228.97
1543,190702.45
1544,99172.42
1545,110155.59
1546,127743.05
1547,141193.27
1548,129032.336
1549,119765.16
1550,144326.3
1551,120895.85
1552,132247.94
1553,144443.08
1554,120071.88
1555,179747.47
1556,123925.234
1557,132407.97
1558,111710.016
1559,122684.28
1560,151228.34
1561,132504.34
1562,126496.06
1563,123066.65
1564,159561.69
1565,155197.06
1566,219765.02
1567,106333.76
1568,222473.48
1569,137666.78
1570,135938.27
1571,112435.84
1572,134304.17
1573,200987.38
1574,124808.61
1575,200708.67
1576,192449.81
1577,176843.64
1578,155682.4
1579,146491.38
1580,195856.67
1581,141126.5
1582,135739.92
1583,281019.44
1584,229098.2
1585,152214.72
1586,98209.95
1587,106135.586
1588,132552.75
1589,102119.02
1590,121385.46
1591,104250.016
1592,124073.53
1593,130843.39
1594,126927.48
1595,137726.53
1596,210878.22
1597,171177.44
1598,213916.55
1599,170915.78
1600,175970.67
1601,99582.23
1602,115745.836
1603,103026.51
1604,259805.98
1605,214119.02
1606,154745.7
1607,150074.22
1608,198868.89
1609,182929.11
1610,167407.08
1611,148722.53
1612,155196.17
1613,153092.72
1614,122482.15
1615,103952.08
1616,103952.08
1617,107222.04
1618,122220.55
1619,137084.17
1620,144749.06
1621,139684.52
1622,139709.17
1623,207495.42
1624,183306.84
1625,131565.88
1626,167826.53
1627,174536.81
1628,258158.36
1629,183831.34
1630,282641.47
1631,208089.92
1632,254777.7
1633,174132.97
1634,178292.36
1635,181727.4
1636,156429.22
1637,173497.1
1638,224456.28
1639,184593.61
1640,227422.02
1641,184593.61
1642,225857.16
1643,248484.69
1644,239187.2
1645,180666.05
1646,158343.52
1647,170740.48
1648,143110.17
1649,124421.19
1650,121929.26
1651,119246.14
1652,109853.56
1653,109853.56
1654,149506.81
1655,165366.8
1656,148813.77
1657,146815.16
1658,151542.06
1659,146945.84
1660,150852.39
1661,303250.94
1662,297120.47
1663,303250.94
1664,303250.94
1665,260604.05
1666,287297.6
1667,295175.1
1668,283841.62
1669,266772.9
1670,291589.3
1671,246351.88
1672,303250.94
1673,288312.6
1674,239075.45
1675,180788.6
1676,180788.6
1677,200266.44
1678,303250.94
1679,303250.94
1680,269038.12
1681,213786.44
1682,287297.6
1683,185407.31
1684,182060.3
1685,176918.03
1686,175751.47
1687,179239.4
1688,198548.25
1689,194366.03
1690,189222.19
1691,179239.4
1692,258158.36
1693,176843.64
1694,174536.81
1695,174745.84
1696,241818.4
1697,174745.84
1698,303250.94
1699,299603.06
1700,244248.33
1701,271990.22
1702,249471.27
1703,249809.34
1704,275397.2
1705,213786.44
1706,294229.06
1707,187177.53
1708,182929.11
1709,241986.36
1710,219635.53
1711,249809.34
1712,248484.69
1713,250318.97
1714,218472.14
1715,211343.3
1716,171450.44
1717,166622.16
1718,141397.28
1719,203371.3
1720,235171.9
1721,163012.73
1722,135939.56
1723,143961.47
1724,193206.55
1725,227422.02
1726,183768.77
1727,161011.73
1728,191768.08
1729,158204.95
1730,165972.55
1731,127848.23
1732,130434.24
1733,129610.14
1734,124421.19
1735,134878.95
1736,124421.19
1737,290392.12
1738,214529.45
1739,246934.75
1740,200277.7
1741,175863.62
1742,169174.75
1743,175348.16
1744,262969.3
1745,211126.94
1746,228950.77
1747,230597.31
1748,202215.73
1749,161527.27
1750,149177.67
1751,227422.02
1752,131328.31
1753,146129.42
1754,208700.45
1755,172245.45
1756,121929.26
1757,120626.7
1758,147220.64
1759,156209.78
1760,161747.7
1761,152090.94
1762,159631.25
1763,159581.33
1764,126763.44
1765,159495.36
1766,171289.3
1767,175978.89
1768,137897.39
1769,169129.75
1770,130745.09
1771,139889.02
1772,141420.75
1773,133353.08
1774,140942.77
1775,128058.35
1776,132221.6
1777,117556.36
1778,132237.73
1779,133972.6
1780,176621.16
1781,133240.33
1782,107529.34
1783,140257.31
1784,105627.47
1785,111430.81
1786,126224.56
1787,173294.53
1788,99172.42
1789,119212.14
1790,105096.83
1791,156545.47
1792,141624.02
